step,component,status,artifacts,summary,notes
1,repo-scaffold,done,"/workspace/infra/README.md;/workspace/infra/secrets/README.md;/workspace/infra/secrets/env.example","온프레미스 구현 산출물 디렉토리/보안 템플릿 생성","실제 비밀값은 저장소에 포함하지 않음"
2,postgres-etcd,done,"/workspace/infra/postgres/etcd/README.md;/workspace/infra/postgres/etcd/etcd.env.example;/workspace/infra/postgres/etcd/etcd.service;/workspace/infra/postgres/etcd/install_etcd.sh","Patroni DCS용 etcd 3노드 템플릿 및 systemd/설치 스크립트 생성","etcd TLS는 운영에서 권장(현재는 구동 우선 템플릿)"
3,postgres-patroni-haproxy,done,"/workspace/infra/postgres/patroni/patroni.node1.yml;/workspace/infra/postgres/patroni/patroni.node2.yml;/workspace/infra/postgres/patroni/patroni.service;/workspace/infra/postgres/patroni/patroni.env.example;/workspace/infra/postgres/patroni/install_patroni_node.sh;/workspace/infra/postgres/haproxy/haproxy.cfg;/workspace/infra/postgres/haproxy/haproxy.service;/workspace/infra/postgres/haproxy/install_haproxy.sh","PostgreSQL 15 HA(Patroni) 및 단일 엔드포인트(HAProxy) 템플릿/스크립트 구현","HAProxy 5432=Primary, 5433=Replica. Patroni가 postgres 프로세스를 직접 관리"
4,postgres-pgbouncer,done,"/workspace/infra/postgres/pgbouncer/pgbouncer.ini;/workspace/infra/postgres/pgbouncer/pgbouncer.service;/workspace/infra/postgres/pgbouncer/install_pgbouncer.sh;/workspace/infra/postgres/pgbouncer/generate_userlist_from_postgres.sh","(옵션) PgBouncer 커넥션 풀링 템플릿/스크립트 구현","SCRAM auth_file 생성 스크립트 포함(슈퍼유저 권한 필요)"
5,mongodb-replicaset,done,"/workspace/infra/mongodb/README.md;/workspace/infra/mongodb/conf/mongod.primary.yml;/workspace/infra/mongodb/conf/mongod.secondary1.yml;/workspace/infra/mongodb/conf/mongod.secondary2.yml;/workspace/infra/mongodb/scripts/generate_keyfile.sh;/workspace/infra/mongodb/scripts/install_mongodb_node.sh;/workspace/infra/mongodb/scripts/init_replicaset_and_users.js;/workspace/infra/mongodb/scripts/mongo_backup.sh;/workspace/infra/mongodb/scripts/mongo_restore.sh","MongoDB 7 Replica Set 설정/설치/초기화/백업·복구 스크립트 구현","systemd 운영 기준 fork=false, 백업은 --oplog 사용"
6,redis-cluster,done,"/workspace/infra/redis/README.md;/workspace/infra/redis/conf/redis.conf.template;/workspace/infra/redis/systemd/redis@.service;/workspace/infra/redis/scripts/install_redis_node.sh;/workspace/infra/redis/scripts/cluster_create.sh","Redis 7.2 Cluster(3 master + 3 replica) 템플릿/스크립트 구현","cluster bus 포트(16379) 포함. bind/ExecStop 불일치 방지 위해 127.0.0.1도 bind"
7,opensearch-minio-snapshot,done,"/workspace/infra/opensearch/README.md;/workspace/infra/opensearch/conf/opensearch.master.yml.template;/workspace/infra/opensearch/conf/opensearch.data.yml.template;/workspace/infra/opensearch/conf/jvm.options.master;/workspace/infra/opensearch/conf/jvm.options.data;/workspace/infra/opensearch/systemd/opensearch.service;/workspace/infra/opensearch/scripts/preflight_tuning.sh;/workspace/infra/opensearch/scripts/install_opensearch.sh;/workspace/infra/opensearch/scripts/init_security.sh;/workspace/infra/opensearch/scripts/configure_minio_keystore.sh;/workspace/infra/opensearch/scripts/register_snapshot_repo_minio.sh;/workspace/infra/opensearch/security/README.md","OpenSearch 2.11 클러스터 템플릿 + 보안 초기화 + MinIO(S3) 스냅샷 리포지토리 등록 스크립트 구현","MinIO 자격증명은 keystore에 저장(레포 등록에 평문 미포함). 인증서(root-ca/node/admin) 배치 필요"
8,neo4j-enterprise-cluster,done,"/workspace/infra/neo4j/README.md;/workspace/infra/neo4j/conf/neo4j.core1.conf.template;/workspace/infra/neo4j/conf/neo4j.core2.conf.template;/workspace/infra/neo4j/conf/neo4j.core3.conf.template;/workspace/infra/neo4j/systemd/neo4j.service;/workspace/infra/neo4j/scripts/install_neo4j_enterprise.sh;/workspace/infra/neo4j/scripts/neo4j_backup.sh;/workspace/infra/neo4j/scripts/neo4j_restore.sh","Neo4j 5.15 Enterprise 3-Core 클러스터 템플릿 및 online backup 스크립트 구현","구독 필요 항목은 /workspace/subscription_report.csv에 별도 기록"
9,obsidian-vault,done,"/workspace/obsidian/README.md;/workspace/obsidian/00_Index.md;/workspace/obsidian/10_Runbooks/10.05_Neo4j_Enterprise_Cluster.md","Obsidian Vault 초기 구조/인덱스/런북(Neo4j) 추가","Obsidian에서 폴더를 Vault로 열어 문서를 관리"
10,qdrant-cluster,done,"/workspace/infra/qdrant/README.md;/workspace/infra/qdrant/compose/docker-compose.yml;/workspace/infra/qdrant/scripts/qdrant_snapshot.sh","Qdrant 1.7 2노드 클러스터 compose 및 스냅샷 백업 스크립트 구현","운영 안전성은 3노드가 유리하나 요구사항대로 2노드 유지"
11,minio-distributed,done,"/workspace/infra/minio/README.md;/workspace/infra/minio/systemd/minio.service;/workspace/infra/minio/systemd/minio.env.example;/workspace/infra/minio/scripts/generate_minio_env.sh;/workspace/infra/minio/scripts/install_minio_node.sh;/workspace/infra/minio/scripts/install_mc.sh;/workspace/infra/minio/scripts/bootstrap_buckets.sh","MinIO 4노드 분산(systemd) 템플릿/스크립트 및 mc 버킷/정책 예제 구현","systemd brace-expansion 문제를 env 생성 방식으로 회피(볼륨 문자열 명시화)"
12,backup-orchestrator,done,"/workspace/infra/backup/README.md;/workspace/infra/backup/backup.env.example;/workspace/infra/backup/scripts/bems_backup_all.sh;/workspace/infra/postgres/scripts/pg_backup.sh","통합 백업 오케스트레이터 및 보관기간(정책) 정리 로직 구현","OpenSearch snapshot 보관 정리는 MinIO lifecycle 또는 스냅샷 삭제로 운영 권장"
13,monitoring-prom-grafana,done,"/workspace/infra/monitoring/README.md;/workspace/infra/monitoring/docker-compose.yml;/workspace/infra/monitoring/prometheus/prometheus.yml;/workspace/infra/monitoring/alerts/database_alerts.yml","Prometheus/Grafana 모니터링 템플릿 및 기본 알림 룰 구현","exporter 배포는 환경별로 추가 필요"
14,monitoring-exporters,done,"/workspace/infra/monitoring/exporters/README.md;/workspace/infra/monitoring/exporters/node/systemd/node_exporter.service;/workspace/infra/monitoring/exporters/node/scripts/install_node_exporter.sh;/workspace/infra/monitoring/exporters/postgres/systemd/postgres_exporter.service;/workspace/infra/monitoring/exporters/postgres/scripts/install_postgres_exporter.sh;/workspace/infra/monitoring/exporters/postgres/conf/postgres_exporter.env.example;/workspace/infra/monitoring/exporters/mongodb/systemd/mongodb_exporter.service;/workspace/infra/monitoring/exporters/mongodb/scripts/install_mongodb_exporter.sh;/workspace/infra/monitoring/exporters/mongodb/conf/mongodb_exporter.env.example;/workspace/infra/monitoring/exporters/redis/systemd/redis_exporter.service;/workspace/infra/monitoring/exporters/redis/scripts/install_redis_exporter.sh;/workspace/infra/monitoring/exporters/redis/conf/redis_exporter.env.example","Prometheus exporter(node/postgres/mongo/redis) systemd 템플릿 및 설치 스크립트 구현","각 서버에 env 파일(DSN/URI/비밀번호) 주입 후 설치 스크립트 실행"
15,monitoring-product-metrics,done,"/workspace/infra/monitoring/exporters/opensearch/README.md;/workspace/infra/monitoring/exporters/opensearch/systemd/opensearch_exporter.service;/workspace/infra/monitoring/exporters/opensearch/scripts/install_opensearch_exporter.sh;/workspace/infra/monitoring/exporters/opensearch/conf/opensearch_exporter.env.example;/workspace/infra/monitoring/exporters/neo4j/README.md;/workspace/infra/monitoring/exporters/qdrant/README.md;/workspace/infra/monitoring/exporters/minio/README.md;/workspace/infra/monitoring/grafana/provisioning/datasources/datasource.yml;/workspace/infra/monitoring/grafana/provisioning/dashboards/provider.yml;/workspace/infra/monitoring/grafana/dashboards/README.md","OpenSearch/Neo4j/Qdrant/MinIO 메트릭 수집 확장 및 Grafana provisioning 템플릿 추가","Prometheus 설정에 opensearch/neo4j/qdrant/minio job 추가. MinIO는 내부망 전제 public metrics 옵션 예시 포함"
16,monitoring-error-signals,done,"/workspace/infra/monitoring/alerts/product_alerts.yml","OpenSearch/Neo4j/Qdrant/MinIO 오류 신호(다운/클러스터 비정상) 알림 룰 추가","제품별 상세 메트릭은 버전/구성에 따라 이름이 달라질 수 있어, up/down을 기본으로 하고 대표 health 메트릭은 존재 시 동작"
