requirement_id,requirement_title,linked_requirement_ids,design_artifact_id,design_artifact_link,test_case_id,test_type,test_link,owner,status,notes
SR-USER-001,글로벌 정책 정보 검색,"FR-M1-022, FR-M1-023",,,,,,,,
SR-USER-002,일일 정책 브리핑 수신,FR-M1-018,,,,,,,,
SR-USER-003,이슈 등록 및 추적,"FR-M3-001, FR-M3-007",,,,,,,,
SR-USER-004,정책 시뮬레이션 실행,"FR-M7-003, FR-M7-004",,,,,,,,
SR-USER-005,보고서 자동 생성,,,,,,,,,
SR-EXEC-001,실시간 대시보드,"FR-M3-017, FR-M8-009",,,,,,,,
SR-EXEC-002,모바일 접근,,,,,,,,,
SR-EXEC-003,정책 권고안 요약,,,,,,,,,
SR-COMM-001,회의 자료 지원,FR-M9-016,,,,,,,,
SR-COMM-002,국제 비교 자료,,,,,,,,,
SR-MINISTRY-001,데이터 연계,,,,,,,,,
SR-MINISTRY-002,권한별 접근,,,,,,,,,
SR-OPS-001,시스템 모니터링,NFR-MAINT-005,,,,,,,,
SR-OPS-002,자동 백업,,,,,,,,,
SR-OPS-003,장애 알림,,,,,,,,,
FR-M1-001,정보원 등록 및 관리,,,,,,,,,
FR-M1-002,정보원 카테고리 분류,,,,,,,,,
FR-M1-003,정보원 활성화/비활성화,,,,,,,,,
FR-M1-004,자동 웹 크롤링,,,,TC-M1-001,통합 테스트,,,,
FR-M1-005,변경 감지,,,,,,,,,
FR-M1-006,다양한 포맷 지원,,,,,,,,,
FR-M1-007,RSS/Atom 피드 구독,,,,,,,,,
FR-M1-008,API 연동,,,,,,,,,
FR-M1-009,크롤링 오류 처리,,,,,,,,,
FR-M1-010,텍스트 추출,,,,,,,,,
FR-M1-011,다국어 처리,,,,,,,,,
FR-M1-012,자동 문서 분류,,,,TC-M1-002,단위 테스트,,,,
FR-M1-013,수동 분류 수정,,,,,,,,,
FR-M1-014,엔티티 추출,,,,,,,,,
FR-M1-015,메타데이터 자동 생성,,,,,,,,,
FR-M1-016,메타데이터 검색,,,,,,,,,
FR-M1-017,실시간 알림,,,,,,,,,
FR-M1-018,일일 다이제스트,,,,,,,,,
FR-M1-019,주간 이슈 브리핑,,,,,,,,,
FR-M1-020,알림 구독 관리,,,,,,,,,
FR-M1-021,원본 파일 저장,,,,,,,,,
FR-M1-022,전문 검색,,,,,,,,,
FR-M1-023,고급 검색,,,,,,,,,
FR-M1-024,검색 결과 정렬,,,,,,,,,
FR-M1-025,유사 문서 추천,,,,,,,,,
FR-M2-001,자동 토픽 추출,,,,,,,,,
FR-M2-002,신규 토픽 탐지,,,,,,,,,
FR-M2-003,토픽 라벨링,,,,,,,,,
FR-M2-004,토픽 시계열 분석,,,,,,,,,
FR-M2-005,급상승 키워드 탐지,,,,,,,,,
FR-M2-006,신조어 탐지,,,,,,,,,
FR-M2-007,키워드 동시 출현 분석,,,,,,,,,
FR-M2-008,국가별 토픽 비교,,,,,,,,,
FR-M2-009,선도 국가 식별,,,,,,,,,
FR-M2-010,GPT 기반 브리핑 생성,,,,,,,,,
FR-M2-011,브리핑 분량 조절,,,,,,,,,
FR-M2-012,브리핑 검증 워크플로우,,,,,,,,,
FR-M2-013,브리핑 편집,,,,,,,,,
FR-M2-014,브리핑 발송,,,,,,,,,
FR-M2-015,전문가 DB 관리,,,,,,,,,
FR-M2-016,자동 전문가 매칭,,,,,,,,,
FR-M2-017,전문가 의견 통합,,,,,,,,,
FR-M3-001,이슈 등록,,,,TC-M3-001,시스템 테스트,,,,
FR-M3-002,이슈 조회,,,,,,,,,
FR-M3-003,이슈 검색,,,,,,,,,
FR-M3-004,이슈 필터링,,,,,,,,,
FR-M3-005,이슈 수정,,,,,,,,,
FR-M3-006,이슈 삭제,,,,,,,,,
FR-M3-007,상태 전이,,,,,,,,,
FR-M3-008,상태 변경 알림,,,,,,,,,
FR-M3-009,마일스톤 관리,,,,,,,,,
FR-M3-010,마일스톤 진행률 계산,,,,,,,,,
FR-M3-011,댓글 작성,,,,,,,,,
FR-M3-012,멘션 기능,,,,,,,,,
FR-M3-013,파일 첨부,,,,,,,,,
FR-M3-014,활동 로그,,,,,,,,,
FR-M3-015,Module 1 연계,,,,,,,,,
FR-M3-016,Module 4 연계,,,,,,,,,
FR-M3-017,이슈 현황 대시보드,,,,,,,,,
FR-M3-018,간트 차트,,,,,,,,,
FR-M3-019,월간 보고서 생성,,,,,,,,,
FR-M4-001,온톨로지 정의,,,,,,,,,
FR-M4-002,자동 엔티티 추출,,,,,,,,,
FR-M4-003,관계 추론,,,,,,,,,
FR-M4-004,수동 엔티티/관계 추가,,,,,,,,,
FR-M4-005,이슈 중심 연관정보 조회,,,,,,,,,
FR-M4-006,영향 경로 분석 (Path Analysis),,,,,,,,,
FR-M4-007,유사 이슈 발견,,,,,,,,,
FR-M4-008,네트워크 그래프 시각화,,,,,,,,,
FR-M4-009,레이아웃 옵션,,,,,,,,,
FR-M4-010,그래프 필터링,,,,,,,,,
FR-M5-001,인과관계 지도 (CLD) 작성,,,,,,,,,
FR-M5-002,Stock-Flow 모델 구현,,,,,,,,,
FR-M5-003,방정식 정의,,,,,,,,,
FR-M5-004,파라미터 추정,,,,,,,,,
FR-M5-005,모델 검증,,,,,,,,,
FR-M5-006,기본 시뮬레이션,,,,TC-M5-001,성능 테스트,,,,
FR-M5-007,파라미터 조정,,,,,,,,,
FR-M5-008,시뮬레이션 기간 설정,,,,,,,,,
FR-M5-009,시계열 그래프,,,,,,,,,
FR-M5-010,다중 시나리오 비교,,,,,,,,,
FR-M5-011,데이터 내보내기,,,,,,,,,
FR-M5-012,일원 민감도 분석,,,,,,,,,
FR-M5-013,Monte Carlo 시뮬레이션,,,,,,,,,
FR-M6-001,기술 분류체계 정의,,,,,,,,,
FR-M6-002,논문/특허 데이터 수집,,,,,,,,,
FR-M6-003,임상시험 데이터 수집,,,,,,,,,
FR-M6-004,제품 출시 데이터 수집,,,,,,,,,
FR-M6-005,TRL 자동 추정,,,,,,,,,
FR-M6-006,TRL 수동 조정,,,,,,,,,
FR-M6-007,TRL 분포 시각화,,,,,,,,,
FR-M6-008,필터링,,,,,,,,,
FR-M6-009,드릴다운,,,,,,,,,
FR-M6-010,분기별 TRL 보고서,,,,,,,,,
FR-M7-001,시나리오 입력 인터페이스,,,,,,,,,
FR-M7-002,사전 정의된 시나리오 제공,,,,,,,,,
FR-M7-003,SD 모델 연동,,,,,,,,,
FR-M7-004,시나리오별 결과 산출,,,,,,,,,
FR-M7-005,복수 시나리오 동시 실행,,,,,,,,,
FR-M7-006,시나리오 비교 표,,,,,,,,,
FR-M7-007,시계열 그래프,,,,,,,,,
FR-M7-008,레이더 차트,,,,,,,,,
FR-M7-009,히트맵,,,,,,,,,
FR-M7-010,Monte Carlo 시뮬레이션,,,,,,,,,
FR-M7-011,최악/기대/최선 시나리오,,,,,,,,,
FR-M7-012,웹 기반 시뮬레이터,,,,,,,,,
FR-M7-013,결과 저장 및 공유,,,,,,,,,
FR-M8-001,지표 분류,,,,,,,,,
FR-M8-002,지표 데이터 수집,,,,,,,,,
FR-M8-003,지표 정규화,,,,,,,,,
FR-M8-004,가중치 설정,,,,,,,,,
FR-M8-005,종합 점수 계산,,,,,,,,,
FR-M8-006,취약 영역 식별,,,,,,,,,
FR-M8-007,국가별 건강도 비교,,,,,,,,,
FR-M8-008,순위 산출,,,,,,,,,
FR-M8-009,스코어카드,,,,,,,,,
FR-M8-010,레이더 차트,,,,,,,,,
FR-M8-011,시계열 추적,,,,,,,,,
FR-M8-012,분기별 진단 보고서,,,,,,,,,
FR-M8-013,개선 권고 자동 생성,,,,,,,,,
FR-M9-001,대안 입력 폼,,,,,,,,,
FR-M9-002,복수 대안 등록,,,,,,,,,
FR-M9-003,Module 7 시뮬레이션 자동 실행,,,,,,,,,
FR-M9-004,최악/기대/최선 시나리오,,,,,,,,,
FR-M9-005,표준편차 계산,,,,,,,,,
FR-M9-006,리스크 매트릭스,,,,,,,,,
FR-M9-007,평가 기준 설정,,,,,,,,,
FR-M9-008,대안 평가,,,,,,,,,
FR-M9-009,종합 점수 계산,,,,,,,,,
FR-M9-010,TOPSIS 분석,,,,,,,,,
FR-M9-011,가중치 민감도 분석,,,,,,,,,
FR-M9-012,What-if 분석,,,,,,,,,
FR-M9-013,자동 권고안 생성,,,,TC-M9-001,통합 테스트,,,,
FR-M9-014,권고안 편집,,,,,,,,,
FR-M9-015,권고안 승인 워크플로우,,,,,,,,,
FR-M9-016,비교 보고서 자동 생성,,,,,,,,,
FR-M9-017,보고서 형식,,,,,,,,,
FR-COM-001,사용자 등록,,,,,,,,,
FR-COM-002,역할 기반 접근 제어 (RBAC),,,,,,,,,
FR-COM-003,로그인/로그아웃,,,,,,,,,
FR-COM-004,SSO 연동,,,,,,,,,
FR-COM-005,비밀번호 재설정,,,,,,,,,
FR-COM-006,이메일 알림,,,,,,,,,
FR-COM-007,Slack 알림,,,,,,,,,
FR-COM-008,알림 설정,,,,,,,,,
FR-COM-009,통합 검색,,,,,,,,,
FR-COM-010,고급 검색,,,,,,,,,
FR-COM-011,데이터 내보내기,,,,,,,,,
FR-COM-012,차트 이미지 저장,,,,,,,,,
FR-COM-013,보고서 공유,,,,,,,,,
FR-COM-014,온라인 매뉴얼,,,,,,,,,
FR-COM-015,튜토리얼,,,,,,,,,
FR-COM-016,헬프데스크,,,,,,,,,
