WBS_ID,Phase,Work_Package,Task,Deliverable,Start,End,Duration_Weeks,Depends_On,Owner_Role,Priority,Acceptance_Criteria
P1-00,Phase1,프로젝트 착수,착수/킥오프,"착수보고서, 커뮤니케이션/거버넌스 체계",2025-07-01,2025-07-15,2,,PM,Must,"킥오프 완료, 보고서 승인"
P1-01,Phase1,요구사항 정의,이해관계자 인터뷰/워크숍,"요구사항정의서(Use Case 50개+), RTM 초안",2025-07-15,2025-08-31,7,P1-00,PM,Must,"핵심 사용자 20명 참여, RTM 작성"
P1-02,Phase1,요구사항 정의,데이터 소스/권한/보안 요구 확정,"데이터 연계 목록, 보안등급/접근정책 초안",2025-07-15,2025-08-31,7,P1-00,아키텍트,Must,"데이터 범위·보안 요구 승인"
P1-03,Phase1,설계,목표 아키텍처/인프라 설계,"아키텍처 설계서(v1), 네트워크/보안 설계",2025-08-01,2025-10-15,11,"P1-01;P1-02",아키텍트,Must,"아키텍처 리뷰 통과"
P1-04,Phase1,설계,데이터 모델/온톨로지/지표 표준 v1,"ERD v1, 온톨로지 v1, 지표 사전 v1",2025-08-15,2025-10-31,11,P1-01,데이터엔지니어,Must,"표준 문서 승인, 버전관리 체계 마련"
P1-05,Phase1,인프라,클라우드 계정/VPC/보안 기본,"VPC, IAM, KMS, 로깅, 기본 모니터링",2025-09-01,2026-01-15,20,P1-03,DevOps,Must,"보안 점검 통과, 접근통제 동작"
P1-06,Phase1,CI/CD,형상관리/배포 파이프라인,"CI/CD 파이프라인, 환경별 배포",2025-10-01,2026-01-15,15,P1-03,DevOps,Must,"빌드/테스트/배포 자동화 동작"
P1-07,Phase1,MVP,모듈1 파일럿(2개 소스),"수집 파이프라인 데모, 수집 로그",2025-11-01,2025-12-31,9,"P1-03;P1-05",백엔드,Must,"2개 소스 일간 수집 성공"
P1-08,Phase1,MVP,모듈3 기본(이슈 등록/조회),"이슈 등록/조회 UI, API v1",2025-11-01,2026-01-15,11,"P1-03;P1-06",프론트/백엔드,Must,"핵심 필드/권한 기반 CRUD 동작"
P2-00,Phase2,확장,M1 확장(60개국 정보원),크롤러 확장/운영대시보드,2026-02-01,2026-04-30,13,"P1-07;P1-05",백엔드,Must,"정보원 등록/수집 실패율<5%"
P2-01,Phase2,AI,NLP 분류/NER v1,"모델 학습/평가 리포트(F1>=0.85), 배포",2026-02-15,2026-06-30,20,"P1-04;P2-00",데이터사이언스,Must,"검증셋 F1 0.85+"
P2-02,Phase2,M2,토픽/키워드 탐지+브리핑 워크플로,"주간 브리핑 생성/편집/승인 기능",2026-03-01,2026-06-30,18,"P2-00;P2-01",백엔드/프론트,Should,"브리핑 2종 자동 생성, 승인흐름"
P2-03,Phase2,M3,워크플로/대시보드 고도화,"간트/지연알림/필터링",2026-03-01,2026-07-31,22,"P1-08",프론트/백엔드,Must,"지연 알림 규칙 적용"
P2-04,Phase2,M4,지식그래프 구축 v1,"Neo4j 스키마/로더/탐색 UI",2026-05-01,2026-07-31,13,"P1-04;P2-00",데이터엔지니어,Must,"엔티티/관계 1차 적재, 경로탐색"
P2-05,Phase2,M6,TRL 추정 v1,"룰기반 TRL + 근거 링크 + 대시보드",2026-06-01,2026-08-31,13,"P1-04;P2-04",데이터사이언스,Should,"기술 20종 TRL 산출"
P2-06,Phase2,M8,건강도 지표(EHI) v1,"지표 산출/정규화/대시보드",2026-06-15,2026-10-31,20,"P1-04;P2-00",데이터엔지니어,Must,"축 6개 점수/드릴다운"
P2-07,Phase2,M5,SD 모델 초안,"CLD+Stock-Flow 모델 v0.1, 문서",2026-08-01,2026-10-31,13,"P1-01;P1-04",SD전문가/DS,Must,"변수 정의/가정/피팅 계획"
P2-08,Phase2,통합,모듈 1-4/6/8 통합 테스트,"통합 테스트 보고서, 버그리스트",2026-09-01,2026-12-15,15,"P2-03;P2-04;P2-06",QA,Must,"핵심 시나리오 E2E 통과"
P2-09,Phase2,파일럿,베타 운영(내부 20명),"사용자 피드백 리포트, 개선 백로그",2026-11-01,2026-12-31,9,P2-08,PM,Must,"사용성 설문 4.0/5.0+"
P3-00,Phase3,M5,SD 모델 정교화/검증,"피팅/민감도/극한조건 테스트 결과",2027-01-01,2027-03-31,13,P2-07,SD전문가/DS,Must,"RMSE<=10%(목표), 검증 워크숍"
P3-01,Phase3,M7,예산 시나리오 시뮬레이터,"시나리오 관리+ROI+MC 결과 범위",2027-02-01,2027-06-30,22,"P3-00;P2-06",백엔드/DS,Must,"Base/S1/S2/S3 실행"
P3-02,Phase3,M9,MCDA+DSS,"대안 입력/리스크/MCDA/권고안+What-if",2027-04-01,2027-09-30,26,"P3-01;P2-04",백엔드/프론트,Must,"TOPSIS/AHP 1종 이상"
P3-03,Phase3,성능/보안,성능 최적화/보안 테스트,"성능/보안 테스트 보고서",2027-07-01,2027-10-31,18,"P3-01;P3-02",QA/보안,Must,"응답<3s(95p), 취약점 조치"
P3-04,Phase3,적용,실전 적용(정책 사례 3건),"정책 시뮬레이션 POC 3건, 회의자료 인용",2027-10-01,2027-12-15,11,"P3-01;P3-02",정책연구팀,Must,"국가바이오위 등 활용 근거"
P3-05,Phase3,전환/교육,운영전환/교육/매뉴얼,"사용자/관리자 매뉴얼, 교육자료, 운영런북",2027-09-01,2027-12-31,17,"P3-02;P3-03",운영팀/PM,Must,"교육 4회, 전환 체크리스트 통과"

