indicator_id,name_ko,name_en,domain,dimension,definition,unit,frequency,source_system,source_url,calculation_method,aggregation_method,transformation_rules,granularity,coverage,owner,steward,access_level,sensitivity,quality_rules,update_sla,version,effective_from,notes
EHI_TECH_001,논문 건수,Paper count,생태계건강도,지식/기술,"바이오 관련 학술 논문 수(기간 내 신규 게재).",건,월,PubMed/Scopus,,"기간 내 게재 논문 수 집계","국가/기관/분야별 합산","중복 DOI 제거, 언어 무관","국가/기관/기술분야/월","글로벌/국내","정책연구팀","데이터관리자","internal","low","결측<5%, 중복<1%","T+30일",1.0,2025-07-01,"Scopus는 유료(옵션)"
EHI_TECH_002,특허 출원 건수,Patent filings,생태계건강도,지식/기술,"바이오 관련 특허 출원 건수(기간 내 신규 출원).",건,월,KIPRIS/USPTO/EPO,,"기간 내 출원건 집계","국가/출원인/기술분야별 합산","패밀리 기준 중복 제거(옵션)","국가/기관/기술분야/월","글로벌/국내","정책연구팀","데이터관리자","internal","low","중복<2%, 분류정확도 점검","T+45일",1.0,2025-07-01,"패밀리 기준 적용 여부를 버전으로 관리"
EHI_MKT_001,바이오 시장 규모,Bio market size,생태계건강도,산업/시장,"바이오 산업 시장 규모(매출/부가가치 등 정의에 따라 선택).",조원,연,산업부/통계청/민간리포트,,"공식통계 또는 신뢰 가능한 리포트 기반 산정","국가/분야별 합산","통계 단위 환산(원→조원), 물가조정(옵션)","국가/분야/연","국내","정책연구팀","데이터관리자","restricted","medium","출처/산식/단위 명시 필수","T+90일",1.0,2025-07-01,"정의(매출/부가가치) 선택은 거버넌스로 확정"
EHI_FIN_001,정부 바이오 R&D 예산,Government bio R&D budget,생태계건강도,투자/재원,"정부의 바이오 R&D 예산(부처/프로그램 합).",억원,연,기재부/NTIS/부처예산서,,"예산서/NTIS 기준 집계","부처/분야별 합산","예산항목 매핑(코드북)","부처/분야/연","국내","정책연구팀","데이터관리자","internal","low","매핑 테이블 변경 이력 관리","T+60일",1.0,2025-07-01,"예산-성과 연결은 M7/M9에서 사용"
EHI_HR_001,바이오 연구인력 규모,Bio R&D workforce,생태계건강도,인력/교육,"바이오 분야 연구인력 수(정의: 연구자/기술자 포함 범위).",명,연,통계청/과기정통부,,"공식 통계 기반 집계","국가/지역/분야별","정의 변경 시 시계열 단절 표시","국가/지역/분야/연","국내","정책연구팀","데이터관리자","internal","low","정의/포함범위 메타데이터 필수","T+120일",1.0,2025-07-01,"정의 변경은 새 version으로 분기"
EHI_REG_001,인허가 리드타임,Regulatory lead time,생태계건강도,규제/제도,"의약품/의료기기 등 인허가 평균 소요기간.",일,분기,식약처/FDA/EMA,,"접수~승인 평균(중앙값 병행 가능)","품목군/기관별 평균","이상치(상위 1%) 제거 규칙 명시","기관/품목군/분기","국내/국제","정책연구팀","데이터관리자","restricted","medium","샘플수 N>=30 표시","T+60일",1.0,2025-07-01,"데이터 접근 제약 시 공개 범위만 산출"
M1_OPS_001,정책문서 수집 성공률,Collection success rate,운영지표,수집/운영,"정책정보 수집 파이프라인의 성공률(성공/전체).",%,일,Airflow/수집로그,,"성공 건수 / 전체 시도 건수","소스별 평균","재시도 포함 여부를 메타로 기록","정보원/일","전체","운영팀","데이터관리자","internal","low","실패원인 분류코드 필수","T+1일",1.0,2025-07-01,"SLA/운영대시보드에 사용"
M2_OUT_001,주간 이슈 브리핑 발간 수,Weekly briefings published,산출지표,브리핑,"주간 이슈 브리핑 발간 건수.",건,주,포털/문서관리,,"승인 완료 브리핑 건수","주간 합계","초안/승인/발간 상태코드 표준화","주","내부","정책연구팀","운영팀","internal","low","승인 워크플로 로그 일치","T+2일",1.0,2025-07-01,"KPI 보고용"
M7_SIM_001,시나리오 실행 건수,Scenario runs,운영지표,시뮬레이션,"M7/M9에서 실행된 시나리오 시뮬레이션 횟수.",건,월,시뮬레이션로그,,"실행 로그 집계","월간 합계","중복 실행(재시도) 제거 규칙","월","내부","정책연구팀","운영팀","internal","low","사용자/시간/모델버전 기록","T+2일",1.0,2025-07-01,"성과/활용도 지표"

