requirement_id,requirement_title,requirement_type,requirement_group,priority_p,moscow,severity,section_path,linked_requirement_ids,obsidian_epic_key,obsidian_epic_link,obsidian_story_key,obsidian_story_link,design_artifact_id,design_artifact_link,test_case_id,test_type,test_link,design_status,dev_status,test_status,overall_status,owner,notes
SR-USER-001,글로벌 정책 정보 검색,SR,USER,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),"FR-M1-022, FR-M1-023",,,,,,,,,,,,,,,
SR-USER-002,일일 정책 브리핑 수신,SR,USER,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),FR-M1-018,,,,,,,,,,,,,,,
SR-USER-003,이슈 등록 및 추적,SR,USER,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),"FR-M3-001, FR-M3-007",,,,,,,,,,,,,,,
SR-USER-004,정책 시뮬레이션 실행,SR,USER,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),"FR-M7-003, FR-M7-004",,,,,,,,,,,,,,,
SR-USER-005,보고서 자동 생성,SR,USER,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),,,,,,,,,,,,,,,,
SR-EXEC-001,실시간 대시보드,SR,EXEC,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)","FR-M3-017, FR-M8-009",,,,,,,,,,,,,,,
SR-EXEC-002,모바일 접근,SR,EXEC,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)",,,,,,,,,,,,,,,,
SR-EXEC-003,정책 권고안 요약,SR,EXEC,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)",,,,,,,,,,,,,,,,
SR-COMM-001,회의 자료 지원,SR,COMM,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.3 국가바이오위원회,FR-M9-016,,,,,,,,,,,,,,,
SR-COMM-002,국제 비교 자료,SR,COMM,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.3 국가바이오위원회,,,,,,,,,,,,,,,,
SR-MINISTRY-001,데이터 연계,SR,MINISTRY,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.4 부처 담당자,,,,,,,,,,,,,,,,
SR-MINISTRY-002,권한별 접근,SR,MINISTRY,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.4 부처 담당자,,,,,,,,,,,,,,,,
SR-OPS-001,시스템 모니터링,SR,OPS,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,NFR-MAINT-005,,,,,,,,,,,,,,,
SR-OPS-002,자동 백업,SR,OPS,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,,,,,,,,,,,,,,,,
SR-OPS-003,장애 알림,SR,OPS,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,,,,,,,,,,,,,,,,
FR-M1-001,정보원 등록 및 관리,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,,,,,,,,,,,,,,,,
FR-M1-002,정보원 카테고리 분류,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,,,,,,,,,,,,,,,,
FR-M1-003,정보원 활성화/비활성화,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,,,,,,,,,,,,,,,,
FR-M1-004,자동 웹 크롤링,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,TC-M1-001,통합 테스트,,,,,,,
FR-M1-005,변경 감지,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M1-006,다양한 포맷 지원,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M1-007,RSS/Atom 피드 구독,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M1-008,API 연동,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M1-009,크롤링 오류 처리,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,,,,,,,,,,,,,,,,
FR-M1-010,텍스트 추출,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,,,,,,,,,,,,,,,,
FR-M1-011,다국어 처리,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,,,,,,,,,,,,,,,,
FR-M1-012,자동 문서 분류,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,,,,,,,,TC-M1-002,단위 테스트,,,,,,,
FR-M1-013,수동 분류 수정,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,,,,,,,,,,,,,,,,
FR-M1-014,엔티티 추출,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.3 문서 처리 및 분류,,,,,,,,,,,,,,,,
FR-M1-015,메타데이터 자동 생성,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.4 메타데이터 관리,,,,,,,,,,,,,,,,
FR-M1-016,메타데이터 검색,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.4 메타데이터 관리,,,,,,,,,,,,,,,,
FR-M1-017,실시간 알림,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,,,,,,,,,,,,,,,,
FR-M1-018,일일 다이제스트,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,,,,,,,,,,,,,,,,
FR-M1-019,주간 이슈 브리핑,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,,,,,,,,,,,,,,,,
FR-M1-020,알림 구독 관리,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.5 알림 서비스,,,,,,,,,,,,,,,,
FR-M1-021,원본 파일 저장,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,,,,,,,,,,,,,,,,
FR-M1-022,전문 검색,FR,M1,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,,,,,,,,,,,,,,,,
FR-M1-023,고급 검색,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,,,,,,,,,,,,,,,,
FR-M1-024,검색 결과 정렬,FR,M1,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,,,,,,,,,,,,,,,,
FR-M1-025,유사 문서 추천,FR,M1,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.6 저장 및 검색,,,,,,,,,,,,,,,,
FR-M2-001,자동 토픽 추출,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,,,,,,,,,,,,,,,,
FR-M2-002,신규 토픽 탐지,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,,,,,,,,,,,,,,,,
FR-M2-003,토픽 라벨링,FR,M2,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,,,,,,,,,,,,,,,,
FR-M2-004,토픽 시계열 분석,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.1 토픽 모델링,,,,,,,,,,,,,,,,
FR-M2-005,급상승 키워드 탐지,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,,,,,,,,,,,,,,,,
FR-M2-006,신조어 탐지,FR,M2,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,,,,,,,,,,,,,,,,
FR-M2-007,키워드 동시 출현 분석,FR,M2,P2,Could have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.2 키워드 트렌드 분석,,,,,,,,,,,,,,,,
FR-M2-008,국가별 토픽 비교,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.3 국가별/시기별 아젠다 추적,,,,,,,,,,,,,,,,
FR-M2-009,선도 국가 식별,FR,M2,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.3 국가별/시기별 아젠다 추적,,,,,,,,,,,,,,,,
FR-M2-010,GPT 기반 브리핑 생성,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,,,,,,,,,,,,,,,,
FR-M2-011,브리핑 분량 조절,FR,M2,P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,,,,,,,,,,,,,,,,
FR-M2-012,브리핑 검증 워크플로우,FR,M2,P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.3 Module 2: 신규 아젠다 발굴 및 이슈 브리핑 > 3.3.4 자동 이슈 브리핑 생성,,,,,,,,,,,,,,,,
