id,type,group,number,title,raw_tags,priority_p,moscow,severity,section_path,source_file
SR-USER-001,SR,USER,001,글로벌 정책 정보 검색,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),/workspace/docs/requirements/requirements-spec-v1.0.md
SR-USER-002,SR,USER,002,일일 정책 브리핑 수신,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),/workspace/docs/requirements/requirements-spec-v1.0.md
SR-USER-003,SR,USER,003,이슈 등록 및 추적,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),/workspace/docs/requirements/requirements-spec-v1.0.md
SR-USER-004,SR,USER,004,정책 시뮬레이션 실행,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),/workspace/docs/requirements/requirements-spec-v1.0.md
SR-USER-005,SR,USER,005,보고서 자동 생성,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.1 정책연구자 (Primary User),/workspace/docs/requirements/requirements-spec-v1.0.md
SR-EXEC-001,SR,EXEC,001,실시간 대시보드,,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)",/workspace/docs/requirements/requirements-spec-v1.0.md
SR-EXEC-002,SR,EXEC,002,모바일 접근,,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)",/workspace/docs/requirements/requirements-spec-v1.0.md
SR-EXEC-003,SR,EXEC,003,정책 권고안 요약,,,,,"2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.2 경영진 (센터장, 원장)",/workspace/docs/requirements/requirements-spec-v1.0.md
SR-COMM-001,SR,COMM,001,회의 자료 지원,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.3 국가바이오위원회,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-COMM-002,SR,COMM,002,국제 비교 자료,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.3 국가바이오위원회,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-MINISTRY-001,SR,MINISTRY,001,데이터 연계,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.4 부처 담당자,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-MINISTRY-002,SR,MINISTRY,002,권한별 접근,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.4 부처 담당자,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-OPS-001,SR,OPS,001,시스템 모니터링,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-OPS-002,SR,OPS,002,자동 백업,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,/workspace/docs/requirements/requirements-spec-v1.0.md
SR-OPS-003,SR,OPS,003,장애 알림,,,,,2. 이해관계자 요구사항 > 2.2 이해관계자별 요구사항 > 2.2.5 IT 운영팀,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-001,FR,M1,001,정보원 등록 및 관리,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-002,FR,M1,002,정보원 카테고리 분류,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-003,FR,M1,003,정보원 활성화/비활성화,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.1 정보원 관리,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-004,FR,M1,004,자동 웹 크롤링,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-005,FR,M1,005,변경 감지,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-006,FR,M1,006,다양한 포맷 지원,"P0, Must have",P0,Must have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
FR-M1-007,FR,M1,007,RSS/Atom 피드 구독,"P1, Should have",P1,Should have,,3. 기능 요구사항 (Functional Requirements) > 3.2 Module 1: 국내외 정책정보 실시간 모니터링 > 3.2.2 웹 크롤링 및 데이터 수집,/workspace/docs/requirements/requirements-spec-v1.0.md
